match_id,competition,season,date,home_team,away_team,home_goals,away_goals,matchday,stage,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_possession,away_possession,home_xg,away_xg,first_half_home_goals,first_half_away_goals,minute_first_goal,home_goals_0_15,away_goals_0_15,home_goals_75_90,away_goals_75_90
551981,champions_league,2025,2025-09-16,Athletic Club,Arsenal,0,2,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552049,champions_league,2025,2025-09-16,PSV Eindhoven,Royale Union Saint-Gilloise,1,3,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551941,champions_league,2025,2025-09-16,Juventus,Borussia Dortmund,4,4,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551991,champions_league,2025,2025-09-16,Sport Lisboa e Benfica,Qarabağ Ağdam,2,3,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552012,champions_league,2025,2025-09-16,Tottenham Hotspur,Villarreal,1,0,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551927,champions_league,2025,2025-09-16,Real Madrid,Marseille,2,1,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551908,champions_league,2025,2025-09-17,FC Bayern München,Chelsea,3,1,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551946,champions_league,2025,2025-09-17,Liverpool,Atletico Madrid,3,2,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551959,champions_league,2025,2025-09-17,Paris Saint-Germain,Atalanta,4,0,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552031,champions_league,2025,2025-09-17,PAE Olympiakos SFP,Paphos,0,0,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552023,champions_league,2025,2025-09-17,SK Slavia Praha,FK Bodø/Glimt,2,2,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551936,champions_league,2025,2025-09-17,Ajax,Inter Milan,0,2,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551975,champions_league,2025,2025-09-18,FC København,Bayer Leverkusen,2,2,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551995,champions_league,2025,2025-09-18,Club Brugge,Monaco,4,1,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551958,champions_league,2025,2025-09-18,Newcastle United,Barcelona,1,2,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551965,champions_league,2025,2025-09-18,Manchester City,Napoli,2,0,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552000,champions_league,2025,2025-09-18,Eintracht Frankfurt,Galatasaray,5,1,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552027,champions_league,2025,2025-09-18,Sporting Clube de Portugal,FK Kairat,4,1,1,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551915,champions_league,2025,2025-09-30,Paphos,FC Bayern München,1,5,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551935,champions_league,2025,2025-09-30,Inter Milan,SK Slavia Praha,3,0,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551917,champions_league,2025,2025-09-30,Chelsea,Sport Lisboa e Benfica,1,0,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
552020,champions_league,2025,2025-09-30,FK Bodø/Glimt,Tottenham Hotspur,2,2,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551930,champions_league,2025,2025-09-30,FK Kairat,Real Madrid,0,5,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551997,champions_league,2025,2025-09-30,Atletico Madrid,Eintracht Frankfurt,5,1,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
551951,champions_league,2025,2025-09-30,Galatasaray,Liverpool,1,0,2,LEAGUE_STAGE,,,,,,,,,,,,,,,,,,,,,,,
