match_id,competition,season,date,home_team,away_team,home_goals,away_goals,matchday,stage,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_possession,away_possession,home_xg,away_xg,first_half_home_goals,first_half_away_goals,minute_first_goal,home_goals_0_15,away_goals_0_15,home_goals_75_90,away_goals_75_90
03274aa5edcb,champions_league,2023,2023-09-19,AC Milan,Newcastle United FC,0,0,1.0,GROUP_STAGE,12,6,3,2,6,6,1,3,0,0,15,11,53.3,46.7,0.1,0.12,0,0,0,0,0,0,0
fe9febb99def,champions_league,2023,2023-09-19,BSC Young Boys,RB Leipzig,1,3,1.0,GROUP_STAGE,14,13,4,4,6,3,4,3,0,0,14,12,54.2,45.8,1.54,3.03,0,1,72,0,1,0,1
f7d52d6a8898,champions_league,2023,2023-09-19,SS Lazio,Club Atlético de Madrid,1,1,1.0,GROUP_STAGE,13,12,5,4,5,7,0,1,0,0,11,8,42.8,57.2,0.63,0.74,0,0,1,0,0,1,1
e388c7074f84,champions_league,2023,2023-09-19,Feyenoord Rotterdam,Celtic FC,2,0,1.0,GROUP_STAGE,15,10,6,3,7,3,1,2,0,0,10,11,56.2,43.8,1.26,0.1,1,0,14,0,0,1,0
5bf1ba0290f6,champions_league,2023,2023-09-19,Paris Saint-Germain FC,Borussia Dortmund,2,0,1.0,GROUP_STAGE,9,7,4,3,8,5,4,2,0,0,12,12,40.2,59.8,2.78,0.72,1,0,69,1,0,0,0
7c4d708b50f6,champions_league,2023,2023-09-19,Manchester City FC,FK Crvena Zvezda,3,1,1.0,GROUP_STAGE,15,15,7,6,6,5,3,2,0,0,11,15,41.0,59.0,3.08,1.12,1,1,9,1,0,0,0
da9b90abb9b4,champions_league,2023,2023-09-19,FC Barcelona,Royal Antwerp FC,5,0,1.0,GROUP_STAGE,12,4,4,1,7,2,4,1,0,0,10,13,39.1,60.9,4.57,0.1,5,0,46,2,0,0,0
48d2ba14e241,champions_league,2023,2023-09-19,FK Shakhtar Donetsk,FC Porto,1,3,1.0,GROUP_STAGE,8,12,2,5,8,4,1,1,0,0,8,9,43.0,57.0,1.52,2.8,1,0,60,0,0,0,3
70902d7ed7d1,champions_league,2023,2023-09-20,Arsenal FC,PSV,4,0,1.0,GROUP_STAGE,17,13,8,5,5,5,3,3,0,0,18,11,56.3,43.7,2.9,1.1,2,0,21,1,0,1,0
6e1a286433b2,champions_league,2023,2023-09-20,FC Bayern München,Manchester United FC,4,3,1.0,GROUP_STAGE,19,14,7,7,5,5,4,0,0,0,16,13,59.2,40.8,4.32,2.71,3,2,65,1,0,1,0
